Relative Pressure,Absolute Pressure,Adsorbed Amount,Elapsed Time,Saturation Pressure,BJH-A-CuPV_(Pore Width),BJH-A-CuPV_(Pore Volume),BJH-A-PoSD_(Pore Width),BJH-A-PoSD_(dV/dlog(D)PV),BJH-D-CuPV_(Pore Width),BJH-D-CuPV_(Pore Volume),BJH-D-PoSD_(Pore Width),BJH-D-PoSD_(dV/dlog(D)PV)
0.000287134,0.220099,3.5018,04:53,766.537537,75.5049,0.255854,89.4288,0.0696258,57.9862,0.00912569,66.7758,0.000400909
0.002401805,1.838619,6.5218,06:44,765.515564,38.4988,0.22736,45.8006,0.185893,43.8695,0.0170204,48.918,0.00073852
0.006100759,4.665473,8.7780,08:28,764.736511,26.7602,0.179519,30.4821,0.163253,38.4688,0.0220415,40.7968,0.00115645
0.007587312,5.777565,9.4611,14:45,761.477173,21.0601,0.150642,23.2003,0.12712,29.3078,0.0420875,32.5996,0.00409288
0.009722341,7.402130,10.2577,14:51,761.352661,17.1711,0.135892,18.6985,0.118271,23.182,0.0788833,25.4908,0.00608871
0.025232842,19.209793,14.1464,15:00,761.301208,14.4731,0.12511,15.5778,0.116986,17.9695,0.108735,19.8758,0.00479479
0.041205576,31.369133,16.7402,15:04,761.283691,12.4645,0.116449,13.309,0.120969,14.3234,0.124882,15.7047,0.00432913
0.058363029,44.431004,18.7963,15:09,761.286804,10.9131,0.108829,11.5786,0.131617,12.3362,0.133807,13.1683,0.00466374
0.072958262,55.545689,20.2102,15:13,761.335144,9.68149,0.101582,10.2183,0.144363,11.5926,0.137323,11.939,0.00492379
0.099284287,75.588211,22.2938,15:17,761.331055,8.69031,0.0944448,9.12842,0.156715,10.2683,0.144334,10.8422,0.00571339
0.124405743,94.705376,23.9698,15:21,761.262085,7.85753,0.0873698,8.22882,0.167715,9.18612,0.151032,9.66061,0.00682943
0.149447270,113.741623,25.4671,15:25,761.081970,7.16488,0.0802766,7.4768,0.17474,8.32472,0.157501,8.70829,0.00824122
0.174434448,132.747787,26.8682,15:29,761.018188,6.56629,0.0733422,6.83747,0.176259,7.59132,0.164108,7.92028,0.0101098
0.199472341,151.781967,28.2108,15:33,760.917358,6.05182,0.0666278,6.28644,0.173034,6.97821,0.171024,7.25583,0.012539
