Relative Pressure,Absolute Pressure,Adsorbed Amount,Elapsed Time,Saturation Pressure,BJH-A-CuPV_(Pore Width),BJH-A-CuPV_(Pore Volume),BJH-A-PoSD_(Pore Width),BJH-A-PoSD_(dV/dlog(D)PV),BJH-D-CuPV_(Pore Width),BJH-D-CuPV_(Pore Volume),BJH-D-PoSD_(Pore Width),BJH-D-PoSD_(dV/dlog(D)PV)
0.224453198,170.785019,29.5373,15:37,760.893677,5.59475,0.0603685,5.80395,0.167243,6.43877,0.17849,6.68407,0.0154789
0.249490982,189.816086,30.8525,15:41,760.813416,5.19312,0.054565,5.37782,0.159747,5.97317,0.186491,6.18624,0.0189277
0.274507123,208.810837,32.1778,15:44,760.675476,4.83301,0.0492329,4.99914,0.150629,5.55573,0.195096,5.74731,0.0220162
0.299510493,227.808716,33.5290,15:48,760.603455,4.5099,0.0443645,4.65943,0.139619,5.1844,0.20374,5.35546,0.0240133
0.324473544,246.810730,34.9348,15:52,760.649780,4.2173,0.0399655,4.35306,0.127999,4.85098,0.211981,5.00505,0.0247854
0.349507029,265.809631,36.4021,15:56,760.527283,3.94796,0.0360635,4.07309,0.116168,4.54851,0.219449,4.6886,0.0240755
0.374018510,284.475525,37.9498,16:00,760.592102,3.70383,0.0325731,3.81755,0.104975,4.2718,0.225923,4.40019,0.0225734
0.398992889,303.467163,39.6458,16:04,760.582886,3.47652,0.0294984,3.58248,0.0938613,4.13648,0.228921,4.20163,0.0215793
0.423869446,322.374756,41.4706,16:08,760.552002,3.26587,0.0267752,3.36416,0.0828286,4.01158,0.231563,4.07182,0.0205619
0.448755826,341.268890,43.4477,16:13,760.477905,3.06961,0.0243671,3.16126,0.072075,3.89377,0.233897,3.95065,0.0196814
0.473660184,360.150574,45.5755,16:18,760.356445,2.8851,0.0222876,2.97127,0.061431,3.78068,0.236061,3.8353,0.0191864
0.498344623,378.953400,47.8652,16:23,760.424377,2.71464,0.0205,2.79436,0.0521875,3.72165,0.23712,3.75063,0.0191158
0.523338832,397.874512,50.3696,16:28,760.261780,2.54999,0.0190097,2.62687,0.0442153,3.66797,0.238142,3.69436,0.0190916
0.548109617,416.708466,53.0721,16:34,760.264832,2.39404,0.0177516,2.46683,0.0379844,3.56965,0.240039,3.61726,0.0188883
0.572915586,435.535156,56.0265,16:40,760.208252,2.24488,0.016636,2.31443,0.0331797,3.46627,0.242072,3.51619,0.018034
0.597809035,454.479065,59.2279,16:46,760.241211,2.10161,0.0156679,2.16831,0.0294861,3.36728,0.243856,3.41511,0.0161874
0.622619517,473.292297,62.6741,16:52,760.162964,1.96308,0.0147874,2.02744,0.0266227,3.18663,0.2463,3.27116,0.011442
0.647629017,492.182281,66.3862,16:59,759.975647,1.82863,0.0139724,1.89093,0.0242868,3.01265,0.247884,3.09394,0.00788062
0.672334013,510.879303,70.3471,17:06,759.859375,1.69644,0.0131826,1.75745,0.0226049,2.84505,0.248975,2.92323,0.00599242
0.697287394,529.795166,74.5848,17:13,759.794556,1.56569,0.0124448,1.62573,0.0218932,2.68727,0.24982,2.76087,0.00553179
0.722037337,548.670593,78.9752,17:20,759.892273,1.43406,0.0116779,1.49405,0.0223486,"","","",""
0.747151900,567.681946,83.5164,17:27,759.794556,1.29887,0.0108558,1.3598,0.0242852,"","","",""
0.771932784,586.519043,88.1044,17:34,759.805847,1.14923,0.00986606,1.21509,0.0283487,"","","",""
0.796923327,605.461914,92.8130,17:41,759.749268,1.05962,0.00848758,1.10091,0.0310428,"","","",""
0.821781895,624.327026,97.6747,17:49,759.723511,0.94301,0.0074294,0.994884,0.0328702,"","","",""
0.846388421,643.093506,102.8567,17:56,759.808960,0.81334,0.00577887,0.869362,0.0309511,"","","",""
0.870639970,661.606934,108.7768,18:04,759.908752,0.633924,0.00365175,0.704229,0.0161917,"","","",""
0.894836886,679.933594,116.1509,18:13,759.840820,0.597793,0.00109588,0.614963,0.0136892,"","","",""
0.917658188,697.268494,126.1867,18:25,759.834656,0.568651,0.000754699,0.582617,0.0112666,"","","",""
0.943294885,716.557861,145.7953,18:42,759.632935,0.465737,0.000429432,0.509059,0.00173579,"","","",""
0.971563053,737.680359,179.0380,19:11,759.271729,,,,,,,,
0.984807963,747.647644,191.6984,19:24,759.181152,,,,,,,,
0.991527107,752.695618,199.7691,19:35,759.127625,,,,,,,,
0.975427231,740.713684,191.9601,19:44,759.373596,,,,,,,,
0.962557236,731.053467,185.5122,19:54,759.490906,,,,,,,,
0.950075064,721.721008,180.0663,20:02,759.646301,,,,,,,,
0.942814674,716.318237,176.6617,20:10,759.765686,,,,,,,,
0.924227584,702.062317,163.4592,20:28,759.620605,,,,,,,,
0.903430227,686.339539,140.0404,20:51,759.703979,,,,,,,,
0.874435819,664.196289,121.2687,21:06,759.571228,,,,,,,,
0.841637652,639.339172,110.8535,21:19,759.637085,,,,,,,,
0.815750713,619.547729,104.9981,21:27,759.481689,,,,,,,,
0.803853906,610.493286,102.6766,21:33,759.458008,,,,,,,,
0.778585012,591.253723,98.0981,21:40,759.395203,,,,,,,,
0.752841424,571.759949,93.7857,21:47,759.469299,,,,,,,,
0.727927077,552.796326,89.7198,21:54,759.411682,,,,,,,,
0.702673198,533.628357,85.6629,22:01,759.426086,,,,,,,,
0.677941873,514.830688,81.5549,22:08,759.402405,,,,,,,,
0.652797323,495.658600,77.2459,22:16,759.284058,,,,,,,,
0.627995516,476.836029,72.7685,22:23,759.298462,,,,,,,,
0.602835459,457.759338,68.0660,22:31,759.343750,,,,,,,,
0.577715566,438.729309,63.3964,22:39,759.420959,,,,,,,,
0.552601922,419.678528,58.9399,22:47,759.459045,,,,,,,,
0.527413170,400.518829,54.8370,22:54,759.402405,,,,,,,,
0.502093762,381.303101,51.1639,23:00,759.426086,,,,,,,,
0.488837019,371.281860,49.4068,23:06,759.520752,,,,,,,,
0.476053291,361.590485,47.8173,23:11,759.558838,,,,,,,,
0.463486957,351.976929,46.3629,23:16,759.410645,,,,,,,,
0.450937041,342.438049,44.9815,23:21,759.392151,,,,,,,,
0.444190364,337.313293,44.2803,23:24,759.389038,,,,,,,,
0.437934103,332.602478,43.6171,23:28,759.480652,,,,,,,,
0.426169250,323.641418,42.3828,23:33,759.419922,,,,,,,,
0.413360604,313.918945,41.0568,23:38,759.431213,,,,,,,,
0.400658435,304.261810,39.8307,23:42,759.404480,,,,,,,,
0.376329495,285.826202,37.8467,23:47,759.510498,,,,,,,,
0.351436617,266.853241,36.1550,23:51,759.321106,,,,,,,,
0.326050495,247.554535,34.6246,23:55,759.252136,,,,,,,,
0.300867740,228.397949,33.1965,23:59,759.130737,,,,,,,,
